"Date","Price","Open","High","Low","Change %"
"08-06-2026","3.892","3.884","3.895","3.871","0.55%"
"07-06-2026","3.871","3.871","3.871","3.871","0.34%"
"05-06-2026","3.858","3.808","3.879","3.788","1.45%"
"04-06-2026","3.803","3.824","3.851","3.792","-0.55%"
"03-06-2026","3.824","3.811","3.832","3.811","0.47%"
"02-06-2026","3.806","3.809","3.835","3.795","-0.21%"
"01-06-2026","3.814","3.801","3.838","3.793","0.63%"
"29-05-2026","3.790","3.805","3.820","3.777","0.03%"
"28-05-2026","3.789","3.816","3.861","3.775","-0.21%"
"27-05-2026","3.797","3.816","3.848","3.792","-0.50%"
"26-05-2026","3.816","3.803","3.862","3.803","0.49%"
"25-05-2026","3.797","3.822","3.822","3.797","-1.52%"
"22-05-2026","3.856","3.828","3.864","3.803","0.81%"
"21-05-2026","3.825","3.799","3.847","3.799","0.98%"
"20-05-2026","3.788","3.834","3.847","3.780","-1.07%"
"19-05-2026","3.829","3.805","3.839","3.802","0.42%"
"18-05-2026","3.813","3.829","3.869","3.789","-0.08%"
"15-05-2026","3.816","3.811","3.845","3.811","0.69%"
"14-05-2026","3.790","3.798","3.819","3.771","-0.08%"
"13-05-2026","3.793","3.814","3.825","3.788","0.13%"
"12-05-2026","3.788","3.788","3.804","3.777","0.56%"
"11-05-2026","3.767","3.751","3.777","3.745","0.78%"
"08-05-2026","3.738","3.763","3.763","3.727","-0.37%"
"07-05-2026","3.752","3.741","3.757","3.698","0.78%"
"06-05-2026","3.723","3.744","3.760","3.699","-0.85%"
"05-05-2026","3.755","3.763","3.774","3.734","-0.29%"
"04-05-2026","3.766","3.734","3.790","3.731","1.21%"
"01-05-2026","3.721","3.727","3.737","3.705","0.05%"
"30-04-2026","3.719","3.760","3.775","3.714","-0.93%"
"29-04-2026","3.754","3.703","3.765","3.703","1.21%"
"28-04-2026","3.709","3.693","3.720","3.693","0.57%"
"27-04-2026","3.688","3.688","3.704","3.674","0.52%"
"24-04-2026","3.669","3.716","3.734","3.667","-0.76%"
"23-04-2026","3.697","3.713","3.713","3.684","0.35%"
"22-04-2026","3.684","3.708","3.711","3.668","-0.08%"
"21-04-2026","3.687","3.660","3.700","3.660","0.96%"
"20-04-2026","3.652","3.663","3.687","3.647","0.36%"
"17-04-2026","3.639","3.704","3.706","3.626","-1.33%"
"16-04-2026","3.688","3.702","3.715","3.680","-0.24%"
"15-04-2026","3.697","3.704","3.729","3.694","0.14%"
"14-04-2026","3.692","3.689","3.708","3.684","0.08%"
"13-04-2026","3.689","3.730","3.764","3.684","-0.30%"
"10-04-2026","3.700","3.704","3.724","3.668","0.54%"
"09-04-2026","3.680","3.704","3.709","3.653","-0.14%"
"08-04-2026","3.685","3.640","3.696","3.621","-0.30%"
"07-04-2026","3.696","3.726","3.747","3.648","-0.38%"
"06-04-2026","3.710","3.729","3.745","3.705","-0.13%"
"03-04-2026","3.715","3.681","3.758","3.678","1.23%"
"02-04-2026","3.670","3.701","3.732","3.665","0.03%"
"01-04-2026","3.669","3.677","3.695","3.639","-0.14%"
"31-03-2026","3.674","3.720","3.752","3.658","-1.10%"
"30-03-2026","3.715","3.774","3.795","3.704","-1.35%"
"27-03-2026","3.766","3.828","3.894","3.760","-1.49%"
"26-03-2026","3.823","3.777","3.855","3.777","1.35%"
"25-03-2026","3.772","3.791","3.810","3.761","-0.92%"
"24-03-2026","3.807","3.778","3.880","3.770","1.49%"
"23-03-2026","3.751","3.829","3.952","3.741","-1.70%"
"20-03-2026","3.816","3.762","3.848","3.762","1.54%"
"19-03-2026","3.758","3.699","3.819","3.699","2.48%"
"18-03-2026","3.667","3.635","3.704","3.624","1.07%"
"17-03-2026","3.628","3.649","3.649","3.617","0.00%"
"16-03-2026","3.628","3.652","3.657","3.620","-0.44%"
"13-03-2026","3.644","3.674","3.674","3.626","-0.46%"
"12-03-2026","3.661","3.624","3.672","3.589","2.01%"
"11-03-2026","3.589","3.582","3.603","3.568","0.96%"
"10-03-2026","3.555","3.569","3.587","3.542","-0.53%"
"09-03-2026","3.574","3.582","3.609","3.545","0.82%"
"06-03-2026","3.545","3.594","3.617","3.532","-1.28%"
"05-03-2026","3.591","3.578","3.612","3.578","0.36%"
"04-03-2026","3.578","3.562","3.583","3.551","0.68%"
"03-03-2026","3.554","3.560","3.648","3.546","0.23%"
"02-03-2026","3.546","3.496","3.552","3.490","1.90%"
"27-02-2026","3.480","3.529","3.536","3.477","-1.16%"
"26-02-2026","3.521","3.540","3.550","3.513","-0.14%"
"25-02-2026","3.526","3.521","3.548","3.521","0.20%"
"24-02-2026","3.519","3.521","3.529","3.508","0.46%"
"23-02-2026","3.503","3.532","3.548","3.503","-0.31%"
"20-02-2026","3.514","3.512","3.524","3.492","0.46%"
"19-02-2026","3.498","3.509","3.514","3.490","0.20%"
"18-02-2026","3.491","3.491","3.501","3.480","0.43%"
"17-02-2026","3.476","3.444","3.487","3.431","1.31%"
"16-02-2026","3.431","3.442","3.442","3.431","0.15%"
"13-02-2026","3.426","3.461","3.474","3.421","-0.78%"
"12-02-2026","3.453","3.483","3.496","3.443","-0.40%"
"11-02-2026","3.467","3.416","3.491","3.406","1.79%"
"10-02-2026","3.406","3.449","3.451","3.401","-0.79%"
"09-02-2026","3.433","3.460","3.465","3.425","-0.38%"
"06-02-2026","3.446","3.431","3.462","3.428","-0.03%"
"05-02-2026","3.447","3.509","3.509","3.426","-1.23%"
"04-02-2026","3.490","3.509","3.519","3.487","-0.23%"
"03-02-2026","3.498","3.509","3.519","3.487","0.06%"
"02-02-2026","3.496","3.483","3.512","3.469","0.55%"
"30-01-2026","3.477","3.521","3.526","3.475","-0.49%"
"29-01-2026","3.494","3.521","3.537","3.494","-0.68%"
"28-01-2026","3.518","3.519","3.529","3.505","0.37%"
"27-01-2026","3.505","3.529","3.548","3.500","-0.23%"
"26-01-2026","3.513","3.548","3.548","3.513","-0.40%"
"23-01-2026","3.527","3.549","3.554","3.516","-0.17%"
"22-01-2026","3.533","3.544","3.557","3.528","0.06%"
"21-01-2026","3.531","3.520","3.541","3.515","0.06%"
"20-01-2026","3.529","3.569","3.582","3.527","-1.06%"
"19-01-2026","3.567","3.567","3.567","3.567","0.39%"
"16-01-2026","3.553","3.552","3.572","3.540","0.40%"
"15-01-2026","3.539","3.510","3.546","3.507","1.00%"
"14-01-2026","3.504","3.523","3.531","3.496","-0.17%"
