"Date","Price","Open","High","Low","Change %"
"08-06-2026","4.239","4.248","4.255","4.223","0.38%"
"07-06-2026","4.223","4.229","4.229","4.223","0.23%"
"05-06-2026","4.213","4.101","4.230","4.078","2.71%"
"04-06-2026","4.102","4.123","4.129","4.073","-0.80%"
"03-06-2026","4.135","4.102","4.145","4.096","0.93%"
"02-06-2026","4.097","4.082","4.150","4.050","-0.05%"
"01-06-2026","4.099","4.081","4.143","4.071","0.89%"
"29-05-2026","4.063","4.069","4.084","4.032","-0.22%"
"28-05-2026","4.072","4.108","4.149","4.038","-0.24%"
"27-05-2026","4.082","4.085","4.099","4.054","-0.32%"
"26-05-2026","4.095","4.100","4.129","4.085","-0.09%"
"25-05-2026","4.099","4.099","4.099","4.095","-1.90%"
"22-05-2026","4.178","4.142","4.195","4.103","0.72%"
"21-05-2026","4.148","4.129","4.190","4.108","1.00%"
"20-05-2026","4.107","4.191","4.214","4.085","-2.33%"
"19-05-2026","4.205","4.127","4.226","4.122","0.98%"
"18-05-2026","4.164","4.158","4.174","4.103","0.46%"
"15-05-2026","4.145","4.065","4.150","4.063","2.85%"
"14-05-2026","4.030","4.016","4.062","3.988","0.05%"
"13-05-2026","4.028","4.029","4.056","4.012","0.02%"
"12-05-2026","4.027","3.981","4.163","3.981","1.36%"
"11-05-2026","3.973","3.944","3.980","3.933","1.43%"
"08-05-2026","3.917","3.937","3.970","3.895","-0.68%"
"07-05-2026","3.944","3.893","3.951","3.845","1.28%"
"06-05-2026","3.894","3.972","3.972","3.863","-1.72%"
"05-05-2026","3.962","3.981","3.984","3.944","-0.60%"
"04-05-2026","3.986","3.950","4.016","3.931","1.92%"
"01-05-2026","3.911","3.910","3.930","3.865","0.08%"
"30-04-2026","3.908","3.958","3.969","3.889","-1.19%"
"29-04-2026","3.955","3.868","3.976","3.858","2.22%"
"28-04-2026","3.869","3.818","3.879","3.818","1.15%"
"27-04-2026","3.825","3.828","3.841","3.803","0.66%"
"24-04-2026","3.800","3.847","3.863","3.795","-1.09%"
"23-04-2026","3.842","3.819","3.869","3.803","0.89%"
"22-04-2026","3.808","3.796","3.822","3.766","0.37%"
"21-04-2026","3.794","3.737","3.823","3.731","1.69%"
"20-04-2026","3.731","3.756","3.759","3.726","0.38%"
"17-04-2026","3.717","3.797","3.805","3.697","-2.13%"
"16-04-2026","3.798","3.769","3.804","3.755","0.48%"
"15-04-2026","3.780","3.754","3.799","3.750","0.48%"
"14-04-2026","3.762","3.787","3.812","3.754","-1.00%"
"13-04-2026","3.800","3.872","3.875","3.790","-0.63%"
"10-04-2026","3.824","3.799","3.833","3.774","0.50%"
"09-04-2026","3.805","3.815","3.826","3.765","-0.24%"
"08-04-2026","3.814","3.760","3.821","3.736","-1.11%"
"07-04-2026","3.857","3.873","3.909","3.815","-0.41%"
"06-04-2026","3.873","3.887","3.904","3.856","-0.13%"
"03-04-2026","3.878","3.860","3.911","3.837","1.39%"
"02-04-2026","3.825","3.831","3.895","3.798","-0.16%"
"01-04-2026","3.831","3.803","3.843","3.752","0.29%"
"31-03-2026","3.820","3.854","3.864","3.772","-0.88%"
"30-03-2026","3.854","3.913","3.921","3.828","-2.18%"
"27-03-2026","3.940","3.974","4.037","3.926","-1.28%"
"26-03-2026","3.991","3.893","4.008","3.890","2.91%"
